AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202512,4104055,CAMPO BONITO,41,PARANÁ,SU,SUL,14695159.07,94658,5097450.66,3758,12671759.14,42627,3441616.96,9639,2575,149,2422,132
202504,4219853,ZORTÉA,42,SANTA CATARINA,SU,SUL,8089784.07,47869,5922704.46,3121,8382132.29,23225,4569255.25,8314,1964,161,1903,149
202502,2511103,PEDRA LAVRADA,25,PARAÍBA,NE,NORDESTE,16224201.32,122654,4395320.24,4052,14957324.17,80533,3750739.13,15345,3748,166,3640,144
202503,2611705,RIACHO DAS ALMAS,26,PERNAMBUCO,NE,NORDESTE,63181821.48,354912,16822818.19,10279,62887157.98,254116,14192435.75,38678,10644,328,10258,304
202502,3121506,DESTERRO DO MELO,31,MINAS GERAIS,SE,SUDESTE,6287978.73,26924,1854543.6,955,5985977.89,18635,1510366.46,2531,1394,80,1351,82
202501,2103000,CAXIAS,21,MARANHÃO,NE,NORDESTE,433604221.04,3787787,141620798.75,141529,405354907.42,2430079,120602740.92,526656,97646,2836,96131,2685
202503,2312304,SÃO BENEDITO,23,CEARÁ,NE,NORDESTE,103249019.45,715086,30742481.39,32369,100305389.43,459196,34044393.27,149209,23499,1070,23266,977
202509,1715259,NOVO JARDIM,17,TOCANTINS,NO,NORTE,8087554.43,57031,2476530.86,1412,7738760.03,32996,2256277.45,6945,1466,60,1442,59
202501,3121001,DATAS,31,MINAS GERAIS,SE,SUDESTE,12089544.51,74578,3794517.33,3445,11000279.06,47221,3925862.96,11319,2903,146,2869,143
202603,1702158,ARAGUANÃ,17,TOCANTINS,NO,NORTE,12515193.49,88109,1690248.4,3038,11864027.72,48490,1903916.79,7175,3365,100,3200,91
202505,3530409,MIRASSOLÂNDIA,35,SÃO PAULO,SE,SUDESTE,16433214.69,83168,5962884.84,7071,16707267.92,48315,8378356.83,17708,2648,237,2591,190
202506,2605152,DORMENTES,26,PERNAMBUCO,NE,NORDESTE,60526410.03,299072,9557621.44,12592,55935934.13,197160,16735820.32,54954,9706,266,9329,250
202512,4307815,ESTRELA VELHA,43,RIO GRANDE DO SUL,SU,SUL,8521127.13,39701,2387224.93,1455,8771922.14,17646,4979317.3,3277,1512,90,1307,81
202504,2913457,IGRAPIÚNA,29,BAHIA,NE,NORDESTE,28268110.81,245519,10635160.24,5300,27918201.64,139166,6865892.34,13413,6723,140,6674,140
202508,3123502,DOURADOQUARA,31,MINAS GERAIS,SE,SUDESTE,8179203.56,22642,536218.14,865,7573360.47,11761,662616.49,3310,913,60,870,56
202503,4312179,MATO QUEIMADO,43,RIO GRANDE DO SUL,SU,SUL,3300900.34,14679,452676.69,567,2079581.62,6535,830510.27,1473,775,57,656,58
202505,5213087,MINAÇU,52,GOIÁS,CO,CENTRO-OESTE,149365573.29,628396,47774620.25,38197,141247980.19,344597,46096061.15,143136,18235,1038,18473,979
202511,3532827,NOVA CAMPINA,35,SÃO PAULO,SE,SUDESTE,23703293.27,207004,30943499.15,10783,23093363.0,106325,34264915.99,27677,5511,249,5368,241
202602,2208809,REGENERAÇÃO,22,PIAUÍ,NE,NORDESTE,40031015.64,389771,11982787.1,14003,35886820.4,222460,17397822.02,54826,9566,325,9455,314
202504,3204500,SANTA LEOPOLDINA,32,ESPÍRITO SANTO,SE,SUDESTE,28254556.97,170849,12582994.71,9300,27050138.18,90624,10257049.72,31073,5678,295,5389,287
202510,4118808,PEABIRU,41,PARANÁ,SU,SUL,54939615.19,279574,73093006.69,26028,58774911.32,141545,49371810.85,65598,8230,765,8015,741
202504,3107901,BOM REPOUSO,31,MINAS GERAIS,SE,SUDESTE,48842838.99,153625,12513030.79,10497,55992608.2,98010,14186401.22,47892,5866,427,5673,420
