AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202508,5108808.0,NOVA GUARITA,51.0,MATO GROSSO,CO,CENTRO-OESTE,27449961.43,80443,7151855.61,5856,30454787.89,38908,7886134.85,16978,3146,281,2876,279
202507,2200707.0,ANÍSIO DE ABREU,22.0,PIAUÍ,NE,NORDESTE,28203667.57,207081,7688531.76,7175,26355819.4,127358,7211376.14,24732,4880,196,4853,185
202602,4107009.0,CURIÚVA,41.0,PARANÁ,SU,SUL,41701172.87,217555,25136909.72,16079,40888841.9,113224,25143379.57,41632,8023,522,7738,515
202507,2932903.0,VALENÇA,29.0,BAHIA,NE,NORDESTE,375700220.32,2347384,124938986.53,117077,366041908.25,1499625,138710438.38,437266,58776,2717,58283,2548
202508,1710904.0,ITAPIRATINS,17.0,TOCANTINS,NO,NORTE,16504216.28,87024,14076932.15,2860,15274643.84,46288,9937669.08,8365,2212,88,2172,84
202507,5215702.0,PALMEIRAS DE GOIÁS,52.0,GOIÁS,CO,CENTRO-OESTE,188878549.55,722335,66970767.19,68294,187012188.49,415715,82047829.8,209465,18844,1469,19067,1385
202503,3520442.0,ILHA SOLTEIRA,35.0,SÃO PAULO,SE,SUDESTE,93004440.03,435136,36568276.58,36995,90277142.28,245962,34982281.57,111453,16266,1245,15685,1231
202603,2201002.0,ARRAIAL,22.0,PIAUÍ,NE,NORDESTE,6669268.54,68252,1045007.83,1311,6150777.64,35447,839540.71,5838,2778,76,2693,66
202603,2301851.0,BANABUIÚ,23.0,CEARÁ,NE,NORDESTE,35328184.45,220929,9052561.38,13360,32550405.68,154239,7820410.12,43975,10066,279,9541,252
202501,3536604.0,PAULO DE FARIA,35.0,SÃO PAULO,SE,SUDESTE,26849662.23,151233,5154113.86,6781,27482662.36,81053,5574709.15,20598,4894,270,4754,250
202512,4128500.0,WENCESLAU BRAZ,41.0,PARANÁ,SU,SUL,86307648.7,474876,107105649.33,36961,81776505.87,246872,103695991.6,118939,11994,965,11941,932
202603,3551504.0,SERRANA,35.0,SÃO PAULO,SE,SUDESTE,118836667.23,771995,153536528.33,64912,126248338.15,406804,60307965.66,151639,30906,2692,30012,2503
202502,4123204.0,SANTA CECÍLIA DO PAVÃO,41.0,PARANÁ,SU,SUL,8603384.91,57093,1495794.97,3535,9440193.81,29104,1816929.78,7320,1960,117,1867,102
202512,2507804.0,JUNCO DO SERIDÓ,25.0,PARAÍBA,NE,NORDESTE,23349158.86,168672,5187607.03,5378,22025538.66,155927,10038163.49,21632,3947,189,3862,188
202503,2932309.0,UBATÃ,29.0,BAHIA,NE,NORDESTE,53252492.23,404238,9740989.75,11133,50174254.07,252182,9236695.68,37940,10919,368,10844,341
202504,2311900.0,SABOEIRO,23.0,CEARÁ,NE,NORDESTE,38703932.37,245634,4634055.49,4316,35691936.06,173350,4241624.62,20838,7348,134,7105,126
202511,4120333.0,PRADO FERREIRA,41.0,PARANÁ,SU,SUL,13328065.47,82786,8068996.91,5765,12160304.59,41265,14613773.92,10967,2399,199,2278,177
202602,1720499.0,SÃO VALÉRIO,17.0,TOCANTINS,NO,NORTE,20221047.0,107325,9139226.25,4087,22537632.47,55472,6680735.51,14798,2940,112,2883,103
202509,2100832.0,APICUM-AÇU,21.0,MARANHÃO,NE,NORDESTE,50611019.33,438344,7369331.46,7668,46936597.06,295522,8312101.98,34649,9227,155,8784,138
202501,5202353.0,ARENÓPOLIS,52.0,GOIÁS,CO,CENTRO-OESTE,19209666.19,37450,3437285.69,2394,18217300.47,21219,4051489.6,8093,1677,94,1602,93
202603,2700201.0,ANADIA,27.0,ALAGOAS,NE,NORDESTE,26873754.91,170268,4088148.19,5284,23707326.31,106010,3427418.18,17559,8286,173,7905,146
202512,4103453.0,CAFELÂNDIA,41.0,PARANÁ,SU,SUL,93458313.15,398277,1339295292.16,48026,80655592.51,183413,1308414097.8,137272,11883,1182,11295,1167
202504,3121902.0,DIVINÉSIA,31.0,MINAS GERAIS,SE,SUDESTE,10994743.0,56501,5954964.12,4283,10766204.08,32140,5867104.52,10741,2156,193,2099,184
202602,2408904.0,PARELHAS,24.0,RIO GRANDE DO NORTE,NE,NORDESTE,66467364.73,472944,28064914.44,27284,63440038.98,294065,26207517.7,97466,13885,1010,13290,912
202508,2922052.0,MULUNGU DO MORRO,29.0,BAHIA,NE,NORDESTE,38452831.38,251848,4820778.43,6650,36986592.19,144501,4756574.76,24199,6815,165,6575,179
202501,2929354.0,SÃO JOSÉ DA VITÓRIA,29.0,BAHIA,NE,NORDESTE,13243742.94,118479,1792220.3,3246,12681149.84,70376,1682552.91,9337,3424,76,3421,68
202502,4215406.0,SALTO VELOSO,42.0,SANTA CATARINA,SU,SUL,12769509.31,51913,16744421.98,5800,12260724.46,23465,15645144.48,21044,2402,265,2222,259
202509,2706505.0,PASSO DE CAMARAGIBE,27.0,ALAGOAS,NE,NORDESTE,41613208.33,332572,13309048.21,11875,40294455.71,215299,13512017.79,26748,8243,295,8162,274
202511,1200054.0,ASSIS BRASIL,12.0,ACRE,NO,NORTE,24348068.12,148025,7796811.25,6614,23428987.09,83649,5642792.78,20815,4289,138,4210,123
202509,4304002.0,CAMPO NOVO,43.0,RIO GRANDE DO SUL,SU,SUL,19540349.34,86888,8363561.65,6936,17020536.25,42297,12243647.72,35218,2971,259,2767,264
202512,2200509.0,AMARANTE,22.0,PIAUÍ,NE,NORDESTE,51577364.86,491077,13735715.44,18630,45641213.92,281796,13038210.03,65508,9338,289,9179,259
202503,2101350.0,BACURITUBA,21.0,MARANHÃO,NE,NORDESTE,8542934.39,94642,376022.66,395,7689361.76,53463,385534.68,2700,2348,17,2328,18
202503,4318614.0,SÃO JOSÉ DO SUL,43.0,RIO GRANDE DO SUL,SU,SUL,4622131.4,21850,5448430.57,2213,5374894.01,10143,7597589.95,6288,1058,117,934,123
